processed_at,source,destination,category,confidence,method,legal_domain,authority,title,metadata_path
2026-08-06T21:01:18.230577+00:00,D:\Nova Legal\Indian Legal\raw\jud-03082026_odtt_0.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt_0.pdf,unclassified,0.4832,rules,general_or_mixed,unknown,03.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt_0.pdf.metadata.json
2026-08-06T21:01:20.481069+00:00,D:\Nova Legal\Indian Legal\raw\jud-03082026_odtt_1.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt_1.pdf,unclassified,0.4832,rules,general_or_mixed,unknown,03.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt_1.pdf.metadata.json
2026-08-06T21:01:22.721802+00:00,D:\Nova Legal\Indian Legal\raw\jud-04082026.odtttt.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-04082026.odtttt.pdf,unclassified,0.5376,rules,general_or_mixed,unknown,04.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-04082026.odtttt.pdf.metadata.json
2026-08-06T21:01:24.965920+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt.pdf,unclassified,0.4832,rules,general_or_mixed,unknown,05.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt.pdf.metadata.json
2026-08-06T21:01:27.280382+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt_0.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt_0.pdf,unclassified,0.4832,rules,general_or_mixed,unknown,05.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt_0.pdf.metadata.json
2026-08-06T21:01:29.488197+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt_1.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt_1.pdf,unclassified,0.0,rules,general_or_mixed,unknown,05.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-05082026.odttttt_1.pdf.metadata.json
2026-08-06T21:01:31.729518+00:00,D:\Nova Legal\Indian Legal\raw\jud-31072026.odtt.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-31072026.odtt.pdf,unclassified,0.4832,rules,general_or_mixed,unknown,31.07.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-31072026.odtt.pdf.metadata.json
2026-08-06T21:01:33.962492+00:00,D:\Nova Legal\Indian Legal\raw\jud_01_for_31.07.2026_1.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud_01_for_31.07.2026_1.pdf,unclassified,0.0,rules,general_or_mixed,unknown,31.07.2026 FOR PRONOUNCEMENT OF JUDGMENT (ORIGINAL JURISDICTION),D:\Nova Legal\Indian Legal\Category\unclassified\jud_01_for_31.07.2026_1.pdf.metadata.json
2026-08-06T21:01:36.118468+00:00,D:\Nova Legal\Indian Legal\raw\jud_1_for_03.08.2026.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud_1_for_03.08.2026.pdf,unclassified,0.0,rules,general_or_mixed,unknown,03.08.2026 FOR PRONOUNCEMENT OF JUDGMENT (ORIGINAL JURISDICTION),D:\Nova Legal\Indian Legal\Category\unclassified\jud_1_for_03.08.2026.pdf.metadata.json
2026-08-06T21:02:11.065028+00:00,D:\Nova Legal\Indian Legal\raw\LAPI-Act-0808115B15D.pdf,D:\Nova Legal\Indian Legal\Category\central_acts\LAPI-Act-0808115B15D.pdf,central_acts,0.6345,rules,tax_law,central_act,fret He se %4)04/0007/2003—10 REGISTERED NO. DL—(N)04/0007/2003—10,D:\Nova Legal\Indian Legal\Category\central_acts\LAPI-Act-0808115B15D.pdf.metadata.json
2026-08-06T21:02:13.738705+00:00,D:\Nova Legal\Indian Legal\raw\LotteriesAct-19985B15D.pdf,D:\Nova Legal\Indian Legal\Category\ordinances\LotteriesAct-19985B15D.pdf,ordinances,0.6298,rules,partnership_law,central_act,REGISTERED No.DL-33004/98,D:\Nova Legal\Indian Legal\Category\ordinances\LotteriesAct-19985B15D.pdf.metadata.json
2026-08-06T21:02:18.137756+00:00,D:\Nova Legal\Indian Legal\raw\MinisterAct1952_0807145B15D.pdf,D:\Nova Legal\Indian Legal\Category\amendment_acts\MinisterAct1952_0807145B15D.pdf,amendment_acts,0.728,rules,family_law,central_act,"THE SALARIES AND ALLOWANCES OF MINISTERS ACT, 1952",D:\Nova Legal\Indian Legal\Category\amendment_acts\MinisterAct1952_0807145B15D.pdf.metadata.json
2026-08-06T21:02:22.647050+00:00,D:\Nova Legal\Indian Legal\raw\MinistersAllowanceRules1957_35B15D.pdf,D:\Nova Legal\Indian Legal\Category\rules\MinistersAllowanceRules1957_35B15D.pdf,rules,0.8208,rules,service_law,rules,MINISTRY OF HOME AFFAIRS,D:\Nova Legal\Indian Legal\Category\rules\MinistersAllowanceRules1957_35B15D.pdf.metadata.json
