processed_at,source,confidence,top_scores,warnings
2026-08-06T21:09:04.178336+00:00,D:\Nova Legal\Indian Legal\raw\The2520Unlawful2520Activities252028Prevention29252028Recommendation2520and2520Sanction2520of2520Prosecution292520Rules2C25202008252028English2520262520Hindi295B15D.pdf,0.476,"{""central_acts"": 7.0, ""notifications"": 7.0, ""gazette_publications"": 5.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0}",
2026-08-06T21:09:28.947758+00:00,D:\Nova Legal\Indian Legal\raw\The2520Unlawful2520Activities252028Prevention292520Amendment2520Act2C25202004252028English295B15D.pdf,0.476,"{""central_acts"": 7.0, ""notifications"": 7.0, ""gazette_publications"": 6.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0}",
2026-08-06T21:10:05.127356+00:00,D:\Nova Legal\Indian Legal\raw\The2520Unlawful2520Activities252028Prevention292520Rules2C25201968252028English295B15D.pdf,0.476,"{""central_acts"": 7.0, ""notifications"": 7.0, ""gazette_publications"": 6.0, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:11:11.389055+00:00,D:\Nova Legal\Indian Legal\raw\TheCitizenshipRules2009_02012025.pdf,0.49,"{""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",Classification used first 15/155 pages.
2026-08-06T21:13:20.371022+00:00,D:\Nova Legal\Indian Legal\raw\UpdatedPresidentPensionRules1962_110520185B15D.pdf,0.5766,"{""notifications"": 7.0, ""recruitment_and_examinations"": 4.8, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:13:22.659580+00:00,D:\Nova Legal\Indian Legal\raw\UpdatedVicePresidentRules1999_11052018_15B15D.pdf,0.5766,"{""notifications"": 7.0, ""recruitment_and_examinations"": 4.8, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:14:07.281173+00:00,D:\Nova Legal\Indian Legal\raw\UPReogAct2000_1309135B15D.PDF,0.612,"{""ordinances"": 9.0, ""high_court_judgments"": 9.0, ""central_acts"": 7.0, ""notifications"": 7.0, ""contracts_and_agreements"": 6.0, ""gazette_publications"": 5.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0}",Classification used first 15/39 pages.
2026-08-06T21:14:12.458302+00:00,D:\Nova Legal\Indian Legal\raw\userGuide.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",Classification used first 15/17 pages.
2026-08-06T21:14:22.233512+00:00,D:\Nova Legal\Indian Legal\raw\UTdiv_Act_3112019_05B15D.pdf,0.612,"{""ordinances"": 9.0, ""high_court_orders"": 9.0, ""central_acts"": 8.5, ""notifications"": 7.0, ""gazette_publications"": 6.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0}",
2026-08-06T21:14:33.914976+00:00,D:\Nova Legal\Indian Legal\raw\VicePresidentRulesupto2018_090820185B15D.pdf,0.5766,"{""notifications"": 7.0, ""recruitment_and_examinations"": 4.8, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
